Check In,Total
2016-01-31 00:00:00+00:00,350
2016-02-07 00:00:00+00:00,490
2016-02-14 00:00:00+00:00,490
2016-02-21 00:00:00+00:00,980
2016-02-28 00:00:00+00:00,900
2016-03-06 00:00:00+00:00,490
2016-03-13 00:00:00+00:00,490
2016-03-20 00:00:00+00:00,1090
2016-03-27 00:00:00+00:00,490
2016-04-03 00:00:00+00:00,490
2016-04-10 00:00:00+00:00,490
2016-04-17 00:00:00+00:00,490
2016-04-24 00:00:00+00:00,490
2016-05-01 00:00:00+00:00,490
2016-05-08 00:00:00+00:00,490
2016-05-15 00:00:00+00:00,970
2016-05-22 00:00:00+00:00,490
2016-05-29 00:00:00+00:00,1050
2016-06-05 00:00:00+00:00,1050
2016-06-12 00:00:00+00:00,1050
2016-06-19 00:00:00+00:00,1810
2016-06-26 00:00:00+00:00,1930
2016-07-03 00:00:00+00:00,910
2016-07-10 00:00:00+00:00,2950
2016-07-17 00:00:00+00:00,1750
2016-07-24 00:00:00+00:00,2650
2016-07-31 00:00:00+00:00,2370
2016-08-07 00:00:00+00:00,1890
2016-08-14 00:00:00+00:00,2450
2016-08-21 00:00:00+00:00,3080
2016-08-28 00:00:00+00:00,3180
2016-09-04 00:00:00+00:00,3320
2016-09-11 00:00:00+00:00,2430
2016-09-18 00:00:00+00:00,3740
2016-09-25 00:00:00+00:00,4210
2016-10-02 00:00:00+00:00,3690
2016-10-09 00:00:00+00:00,3710
2016-10-16 00:00:00+00:00,2550
2016-10-23 00:00:00+00:00,4440
2016-10-30 00:00:00+00:00,3020
2016-11-06 00:00:00+00:00,4620
2016-11-13 00:00:00+00:00,1150
2016-11-20 00:00:00+00:00,4690
2016-11-27 00:00:00+00:00,3260
2016-12-04 00:00:00+00:00,2120
2016-12-11 00:00:00+00:00,5040
2016-12-18 00:00:00+00:00,2440
2016-12-25 00:00:00+00:00,3020
2017-01-01 00:00:00+00:00,2740
2017-01-08 00:00:00+00:00,3370
2017-01-15 00:00:00+00:00,610
2017-01-22 00:00:00+00:00,7030
2017-01-29 00:00:00+00:00,3170
2017-02-05 00:00:00+00:00,2080
2017-02-12 00:00:00+00:00,980
2017-02-19 00:00:00+00:00,3050
2017-02-26 00:00:00+00:00,4440
2017-03-05 00:00:00+00:00,2550
2017-03-12 00:00:00+00:00,700
2017-03-19 00:00:00+00:00,3940
2017-03-26 00:00:00+00:00,2310
2017-04-02 00:00:00+00:00,2520
2017-04-09 00:00:00+00:00,2810
2017-04-16 00:00:00+00:00,2680
2017-04-23 00:00:00+00:00,0
2017-04-30 00:00:00+00:00,1430
2017-05-07 00:00:00+00:00,0
2017-05-14 00:00:00+00:00,980
2017-05-21 00:00:00+00:00,0
2017-05-28 00:00:00+00:00,1580
2017-06-04 00:00:00+00:00,240
2017-06-11 00:00:00+00:00,3290
2017-06-18 00:00:00+00:00,0
2017-06-25 00:00:00+00:00,2060
2017-07-02 00:00:00+00:00,1050
2017-07-09 00:00:00+00:00,600
2017-07-16 00:00:00+00:00,2030
2017-07-23 00:00:00+00:00,850
2017-07-30 00:00:00+00:00,840
2017-08-06 00:00:00+00:00,2120
2017-08-13 00:00:00+00:00,840
2017-08-20 00:00:00+00:00,2660
2017-08-27 00:00:00+00:00,3690
2017-09-03 00:00:00+00:00,1200
2017-09-10 00:00:00+00:00,5190
2017-09-17 00:00:00+00:00,990
2017-09-24 00:00:00+00:00,2490
2017-10-01 00:00:00+00:00,2500
2017-10-08 00:00:00+00:00,3640
2017-10-15 00:00:00+00:00,1840
