Check In,Forecasted_Total
2016-01-31,1544.3028714076045
2016-02-07,1806.4673626903082
2016-02-14,1799.5448371015386
2016-02-21,1478.7928879906847
2016-02-28,1124.7386877712152
2016-03-06,1017.5422349660223
2016-03-13,1183.7611125468316
2016-03-20,1448.6768347642771
2016-03-27,1641.8387530575737
2016-04-03,1693.1070627623053
2016-04-10,1587.8111884117868
2016-04-17,1343.4391933805664
2016-04-24,1064.8454194023013
2016-05-01,935.6630345181076
2016-05-08,1054.6898228207833
2016-05-15,1285.7987705534936
2016-05-22,1362.449686578594
2016-05-29,1192.6306701077067
2016-06-05,999.6502559563974
2016-06-12,1067.7401448028445
2016-06-19,1353.85530197042
2016-06-26,1468.5977563199726
2016-07-03,1139.735269450001
2016-07-10,654.2455566332542
2016-07-17,697.233539492018
2016-07-24,1651.607266478485
2016-07-31,3085.848686817437
2016-08-07,4035.7963615087874
2016-08-14,3855.4304703088683
2016-08-21,2787.7812115109423
2016-08-28,1697.2058006201182
2016-09-04,1280.3877652836036
2016-09-11,1560.1889136173554
2016-09-18,2073.2015986861684
2016-09-25,2407.5749202022753
2016-10-02,2490.3677556369344
2016-10-09,2451.578030053462
2016-10-16,2391.0344451090427
2016-10-23,2355.6223084918092
2016-10-30,2437.917799371366
2016-11-06,2729.972466518086
2016-11-13,3136.080409511414
2016-11-20,3344.478086751289
2016-11-27,3112.8437385950474
2016-12-04,2585.4576329033007
2016-12-11,2225.06972539672
2016-12-18,2356.1778784934077
2016-12-25,2806.262060525487
2017-01-01,3071.8285572229065
2017-01-08,2850.4762838710744
2017-01-15,2351.6340421131945
2017-01-22,2045.886158670658
2017-01-29,2150.2044522391707
2017-02-05,2426.2256918153703
2017-02-12,2482.7293491898818
2017-02-19,2203.468472034586
2017-02-26,1829.9571051909872
2017-03-05,1668.3565399740542
2017-03-12,1795.422688891044
2017-03-19,2057.697699818038
2017-03-26,2271.560861701426
2017-04-02,2349.963373065333
2017-04-09,2272.76367397249
2017-04-16,2048.8186564385805
2017-04-23,1763.7522022483993
2017-04-30,1595.3552844274336
2017-05-07,1672.8095201238602
2017-05-14,1903.326232693666
2017-05-21,2023.237648466637
2017-05-28,1889.0049212048568
2017-06-04,1675.3262210409857
2017-06-11,1687.0357297157038
2017-06-18,1956.848856372689
2017-06-25,2133.4326470887413
2017-07-02,1881.089945381892
2017-07-09,1377.229852616561
2017-07-16,1278.8954543354237
2017-07-23,2077.2726355063032
2017-07-30,3491.076405222474
2017-08-06,4595.5772857925695
2017-08-13,4626.387378995349
2017-08-20,3662.232889935565
2017-08-27,2509.514851076853
2017-09-03,1949.8851504407685
2017-09-10,2132.104962695057
2017-09-17,2641.62417538533
2017-09-24,3023.161164242595
2017-10-01,3143.4731388112755
2017-10-08,3116.4227245260363
2017-10-15,3056.196771321668
