ID,Group ID,Status,Created,Last Updated,Check In,Check Out,Room,,Nights,Guest,Booking,,Fees,Total,Paid,Owing,,,Booking Source
B63YV,-,Checked In,3/1/2024 0:20,3/1/2024 0:20,19/12/2023 15:00,31/01/2024 10:30,Rm 4,,43 Nights,681,1290,,0,1290,0,1290,,,DCC
B63YU,-,Checked In,3/1/2024 0:19,3/1/2024 0:19,15/12/2023 15:00,31/01/2024 10:30,Rm 8,,47 Nights,682,1410,,0,1410,0,1410,,,DCC
B63YT,-,Checked In,3/1/2024 0:11,3/1/2024 0:11,2/1/2024 15:00,31/01/2024 10:30,Rm 6,,29 Nights,683,870,,0,870,0,870,,,DCC
B63YS,-,Checked Out,3/1/2024 0:10,3/1/2024 0:15,5/12/2023 15:00,12/12/2023 10:30,Rm 8,,7 Nights,684,210,,0,210,0,210,,,SRSS
B63YR,-,Checked In,3/1/2024 0:08,3/1/2024 0:08,28/11/2023 15:00,31/01/2024 10:30,Rm 3,,64 Nights,685,1920,,0,1920,0,1920,,,EBC
B63YQ,-,Checked Out,3/1/2024 0:05,3/1/2024 0:05,21/11/2023 15:00,28/11/2023 10:30,Rm 3,,7 Nights,686,210,,0,210,0,210,,,DCC
B63YP,-,Checked Out,3/1/2024 0:04,3/1/2024 0:15,20/11/2023 15:00,12/12/2023 10:30,Rm 4,,22 Nights,687,660,,0,660,0,660,,,DCC
B63YO,-,Checked Out,3/1/2024 0:02,3/1/2024 0:02,14/11/2023 15:00,16/11/2023 10:30,Rm 3,,2 Nights,688,60,,0,60,0,60,,,DCC
B63YN,-,Checked Out,3/1/2024 0:01,3/1/2024 0:01,7/11/2023 15:00,16/11/2023 10:30,Rm 4,,9 Nights,689,270,,0,270,0,270,,,DCC
B63YM,-,Checked In,3/1/2024 0:00,3/1/2024 0:00,6/11/2023 15:00,31/01/2024 10:30,Rm 5,,86 Nights,690,1650,,0,1650,0,1650,,,DCC
B63YL,-,Checked Out,2/1/2024 23:58,2/1/2024 23:58,27/10/2023 15:00,4/12/2023 10:30,Rm 8,,38 Nights,691,1140,,0,1140,0,1140,,,DCC
B63YJ,-,Checked Out,2/1/2024 23:56,2/1/2024 23:56,27/10/2023 15:00,2/11/2023 10:30,Rm 4,,6 Nights,692,180,,0,180,0,180,,,DCC
B63YI,-,Checked Out,2/1/2024 23:55,2/1/2024 23:56,26/10/2023 15:00,2/11/2023 10:30,Rm 5,,7 Nights,693,210,,0,210,0,210,,,VA
B63YH,-,Checked Out,2/1/2024 23:54,2/1/2024 23:54,13/10/2023 15:00,24/10/2023 10:30,Rm 5,,11 Nights,694,330,,0,330,0,330,,,DCC
B63YG,-,Checked Out,2/1/2024 23:53,2/1/2024 23:53,13/10/2023 15:00,26/10/2023 10:30,Rm 8,,13 Nights,695,390,,0,390,0,390,,,DCC
B63YF,-,Checked Out,2/1/2024 23:52,2/1/2024 23:52,5/10/2023 15:00,6/10/2023 10:30,Rm 3,,1 Night,696,30,,0,30,0,30,,,DCC
B63YE,-,Checked Out,2/1/2024 23:50,2/1/2024 23:50,12/9/2023 15:00,15/09/2023 10:30,Rm 5,,3 Nights,697,90,,0,90,0,90,,,DCC
B63YD,-,Checked In,2/1/2024 23:49,2/1/2024 23:49,29/08/2023 15:00,31/01/2024 10:30,Rm 9,,155 Nights,698,3720,,0,3720,0,3720,,,DCC
B63YC,-,Checked Out,2/1/2024 23:44,2/1/2024 23:44,24/08/2023 15:00,25/08/2023 10:30,Rm 5,,1 Night,699,30,,0,30,0,30,,,DCC
B63Y8,-,Checked Out,2/1/2024 23:40,2/1/2024 23:41,24/08/2023 15:00,25/08/2023 10:30,Rm 6,,1 Night,700,30,,0,30,0,30,,,DCC
