Check In,Forecasted_Total
2024-01-07,2209.975011769863
2024-01-14,1724.5730154610221
2024-01-21,1319.5910767362013
2024-01-28,1314.7075142475003
2024-02-04,1573.775891317891
2024-02-11,1698.802018079391
2024-02-18,1478.6087161942296
2024-02-25,1082.7558515129595
2024-03-03,836.3014052256605
2024-03-10,886.3452349967188
2024-03-17,1121.2723442653285
2024-03-24,1346.4342224875081
2024-03-31,1448.8200590943138
2024-04-07,1397.9647136691635
2024-04-14,1193.7633847692869
2024-04-21,896.6340337438853
2024-04-28,668.2621683282948
2024-05-05,669.5793164781837
2024-05-12,870.6258454230534
2024-05-19,1028.8538050011043
2024-05-26,941.1615588067625
2024-06-02,703.8668214632521
2024-06-09,626.5011837058049
2024-06-16,839.9466966525958
2024-06-23,1069.0316414249364
2024-06-30,919.394693704622
2024-07-07,414.73860637859116
2024-07-14,135.54842737108243
2024-07-21,687.9501428292781
2024-07-28,2006.9519201336007
2024-08-04,3269.5666961417455
2024-08-11,3586.423701184305
2024-08-18,2800.421645557614
2024-08-25,1592.986055037221
2024-09-01,828.7947435930354
2024-09-08,836.856467348182
2024-09-15,1301.9353304354947
2024-09-22,1729.2711518007561
2024-09-29,1896.2428072843572
2024-10-06,1879.0023892579625
2024-10-13,1808.1178117916172
2024-10-20,1741.66388589197
2024-10-27,1745.3085101800098
2024-11-03,1931.0569846240921
2024-11-10,2304.1026144352795
2024-11-17,2627.0390562167386
2024-11-24,2579.9164904594672
2024-12-01,2120.415452514712
2024-12-08,1615.2771528468502
2024-12-15,1511.8491112416684
2024-12-22,1864.9707419549131
2024-12-29,2257.78477462059
